Analysis_ID,Site_ID,FilteredVol.L,ExtractionVol.mL,A665,A750,A645,A630,ChlA.ug.L,ChlB.ug.L,ChlC.ug.L,ChlTotal.ug.L
D26A220017,26A,0.2,10,0.25634,-0.042387,0.024593,0.010658,171.6261075,-17.7298955,14.6370655,168.5332775
D45D240017,45D,0.4,10,0.0086727,-0.029624,-0.0093307,-0.01936,10.54357733,4.78786945,0.837217775,16.16866455
D59B275017,59B,0.75,10,-0.0024719,-0.039329,-0.030015,-0.030065,5.622292733,-0.38537164,1.264206973,6.501128067
D59D130017,59D,0.3,10,0.21894,-0.016628,0.051393,0.03089,89.43090067,0.831650333,8.492773333,98.75532433
D66C240017,66C,0.4,10,0.080979,-0.010594,0.018438,0.011582,25.96641725,1.35783525,4.25463525,31.57888775
D15B130017,15B,0.3,10,0.13231,0.022036,0.050531,0.042561,42.04075333,-1.804482333,3.418447333,43.65471833
D60A125017,60A,0.25,10,0.065275,0.054086,0.054509,0.049021,5.2937372,-1.5355072,-5.8437692,-2.0855392
D10C230017,10C,0.3,10,0.49311,0.039979,0.17573,0.12937,171.7798177,5.218738,13.44769833,190.446254
D70A130017,70A,0.3,10,0.070913,0.026018,0.080704,0.044055,14.87821167,28.60961033,-1.610700333,41.87712167
D24B120017,24B,0.2,10,0.19785,0.023552,0.0716,0.057355,99.436657,-1.295234,8.630355,106.771778
D45D140017,45D,0.4,10,0.05636,0.02224,0.04388,0.032147,9.255096,6.0866245,0.536881,15.8786015
D07B130017,7B,0.3,10,0.069001,-0.0087628,0.0095544,0.0048752,29.74005007,-2.4441266,2.177583133,29.4735066
D61A145017,61A,0.45,10,0.0127,-0.0058479,-0.0027046,-0.003067,4.7717658,-0.933526489,0.296079889,4.1343192
D74B235017,74B,0.35,10,0.045643,-0.020385,-0.0017056,-0.008378,21.50585611,0.067346343,1.205184,22.77838646
D05A250017,5,0.5,10,0.010153,0.0019455,0.0042019,0.0042963,1.8719191,-0.06735522,0.53572902,2.3402929
D68A110017,68,0.1,10,0.33799,-0.0085015,0.078001,0.055773,396.7568465,-23.327144,33.9950935,407.424796
D66A240017,66A,0.4,10,0.060338,-0.045037,-0.015718,-0.019417,30.03732225,-0.593922,5.73504375,35.178444
D08H215017,8H,0.15,10,0.27722,-0.015593,0.083357,0.046273,220.8334513,21.75869,18.395774,260.9879153
D27A225017,27A,0.25,10,0.20472,-0.028042,0.039844,0.019476,105.9953528,1.4938816,10.4198088,117.9090432
D26A120017,26A,0.2,10,0.26405,-0.015562,0.047784,0.034791,160.591056,-16.003288,14.313696,158.901464
D15A230017,15A,0.3,10,0.040491,-0.037544,-0.020589,-0.018777,29.903423,-3.902887333,6.699679667,32.70021533
D66B140017,66B,0.4,10,0.14157,-0.0022531,0.029786,0.025761,41.31805983,-4.54236665,5.080599875,41.85629305
D56B225017,56B,0.25,10,0.096944,0.00076818,0.024468,0.017584,44.07361914,-2.742302768,2.8636662,44.19498258
D08D105017,8D,0.05,10,0.71409,-0.0047441,0.25231,0.14293,1622.101369,221.9530908,93.380965,1937.435424
D08E250017,8E,0.25,10,0.059881,0.043926,0.021794,0.014331,9.0207052,-18.9339564,-23.364442,-33.2776932
D10B230017,10B,0.3,10,0.18467,-0.0041223,0.049584,0.039778,71.69896763,-0.415783267,11.7661445,83.04932887
D682210017,68,0.1,10,0.30352,-0.020912,0.061554,0.04256,371.24438,-19.62413,38.77904,390.39929
D74B135017,74B,0.35,10,0.065076,-0.011136,0.014424,0.0071297,24.63681554,2.145967943,3.609854971,30.39263846
D27B240017,,0.4,10,0.086154,-0.0079088,0.015272,0.0099974,26.9378313,-1.7724818,2.6450267,27.8103762
D61C220017,61C,0.2,10,0.10603,-0.0055671,0.024408,0.013818,63.73565865,-1.3580133,3.05723675,65.4348821
D66A140017,66A,0.4,10,0.1018,-0.0028334,0.025661,0.017454,29.86003555,-0.57216535,2.65379575,31.94166595
D08H115017,8H,0.15,10,0.28292,-0.016993,0.079304,0.043228,226.7235993,15.76069733,16.26046733,258.744764
D69A130017,69A,0.3,10,0.2575,0.00068998,0.05672,0.042667,98.45181149,-10.92753204,5.819188167,93.34346761
D69B240017,69B,0.4,10,0.039065,0.017996,0.014127,0.015396,6.39584775,-4.7213435,-1.73832075,-0.0638165
D70A230017,70A,0.3,10,0.05605,0.018509,0.062177,0.025783,12.56767367,23.17138567,-7.207059667,28.53199967
D59B175017,59B,0.75,10,0.018961,-0.020675,-0.0080605,-0.008657,5.990651067,0.241221,1.768253867,8.000125933
D60C120017,60C,0.2,10,0.29723,-0.01812,0.061094,0.041962,180.505069,-10.31491,17.227487,187.417646
D24B220017,24B,0.2,10,0.16443,-0.0081501,0.040554,0.028263,98.35784115,-0.4860783,11.72446425,109.5962271
D61A245017,61A,0.45,10,0.0078263,0.00046301,0.006568,0.0063372,1.719630371,1.617331769,1.896456011,5.233418151
D67A125017,67A,0.25,10,0.34067,-0.0065656,0.082123,0.064247,158.8998563,-8.34918264,19.2963256,169.8469993
D45A230017,45A,0.3,10,0.47444,-0.0017757,0.1573,0.09719,179.675407,16.54206527,14.0794475,210.2969198
D74C230017,74C,0.3,10,0.45066,-0.0065527,0.13343,0.09125,173.1524307,6.7005346,19.02361583,198.8765811
D69A230017,69A,0.3,10,0.24135,-0.0077305,0.051379,0.037597,95.2316365,-7.666849333,8.207788833,95.772576
D56A150017,56A,0.5,10,-0.020139,-0.032444,-0.027542,-0.025519,2.7542234,0.3570482,2.239929,5.3512006
D45C230017,45C,0.3,10,0.027739,-0.0099473,-0.0034666,-0.0066028,14.5444939,-2.574795267,-1.0060767,10.96362193
D10A130017,10A,0.3,10,-0.016222,-0.043339,-0.035036,-0.034335,10.26098367,0.113871333,3.746329667,14.12118467
D27C125017,27C,0.25,10,0.25521,0.0037203,0.091289,0.056744,113.64221,13.39750592,8.5852482,135.6249642
D69C230017,69C,0.3,10,0.076775,-0.019475,0.0057502,0.00064802,36.67019501,-1.522625907,4.698914347,39.84648345
D58B225017,58B,0.25,10,0.27509,-0.017748,0.073331,0.043703,132.9981024,6.4728548,13.0215464,152.4925036
D45B230017,45B,0.3,10,0.26002,-0.028589,0.064143,0.03088,109.0817283,7.493985,9.047988333,125.6237017
D59A230017,59A,0.3,10,0.029353,-0.015738,-0.0009799,-0.0037193,17.02131267,1.118299033,3.5744998,21.7141115
D56B125017,56B,0.25,10,0.080876,-0.027676,0.0027237,-0.0020337,49.49897112,-0.73360748,8.65718544,57.42254908
D05A150017,5,0.5,10,-0.032141,-0.044999,-0.039706,-0.037994,2.8731136,0.457191,2.2012588,5.5315634
D10D125017,10D,0.25,10,0.070406,-0.035585,-0.0066581,-0.014256,48.38958416,-0.95734252,5.0455068,52.47774844
D56A250017,56A,0.25,10,0.010449,0.0014553,0.001904,0.0017724,4.23435916,-1.60972464,-0.42617228,2.19846224
D69B140017,69B,0.4,10,-0.030041,-0.051426,-0.048727,-0.04423,6.21700275,-1.9625485,3.00551425,7.2599685
D10A230017,10A,0.3,10,0.016553,-0.011854,-0.0051184,-0.0064688,10.86064367,-0.897499133,1.113828467,11.076973
D69C130017,69C,0.3,10,0.083034,-0.023766,-0.0011611,-0.0029154,40.97001353,-5.3335183,5.370115733,41.00661097
D57D150017,57D,0.5,10,-0.013206,-0.021543,-0.028803,-0.022507,2.2010194,-3.9076694,0.3523186,-1.3543314
D57D250017,57D,0.5,10,-0.045974,-0.055119,-0.058051,-0.050016,2.2495058,-2.4978258,2.6427322,2.3944122
D13B220017,31B,0.2,10,0.012011,-0.0005331,-0.00091696,0.0050254,7.43970247,-4.54863244,5.91315545,8.80422548
D31B120017,31B,0.2,10,-0.0031719,-0.020645,-0.019245,-0.012357,10.21185975,-4.37415065,8.17008415,14.00779325
D57B125017,57B,0.25,10,0.30426,-0.014016,0.058257,0.061445,146.169332,-16.36255,30.78032,160.587102
D57B225017,57B,0.25,10,0.2971,-0.027872,0.044135,0.047568,149.3596888,-18.038446,30.3932944,161.7145372
D57C150017,57C,0.5,10,0.043495,-0.020564,-0.0031266,-0.0058503,14.62136916,-0.4054058,2.42554308,16.64150644
D57C250017,57C,0.5,10,0.053434,-0.014967,0.0065956,0.0021167,15.519575,0.73202812,2.81573788,19.067341
D57A125017,57A,0.25,10,0.009419,-0.025876,-0.014864,-0.015439,16.0180924,0.4867236,4.5312556,21.0360716
D57A225017,57A,0.25,10,-0.030209,-0.065874,-0.056253,-0.05397,16.2744636,-0.9198384,6.3682372,21.7228624
D44B125017,44B,0.25,10,0.048759,-0.025211,-0.0018735,-0.0064731,33.56422872,1.57150844,6.34233632,41.47807348
D44B225017,44B,0.25,10,0.12404,-0.060063,-0.013376,-0.013886,84.2411364,-5.6273,18.7994732,97.4133096
D44A250017,44A,0.5,10,0.021889,-0.011909,-0.0005393,-0.00021267,7.641225112,0.489388264,2.878832632,11.00944601
D44A150017,44A,0.5,10,0.017074,-0.016805,-0.0070562,-0.0076895,7.71447516,-0.06385872,1.856865,9.50748144
D32B250017,32B,0.5,10,-0.050148,-0.074056,-0.063254,-0.061586,5.3135424,1.2835084,3.6748568,10.2719076
D32B150017,32B,0.5,10,0.0077362,-0.014932,-0.0039611,-0.00702,5.02180048,1.73167562,1.45535012,8.20882622
D08A230017,8A,0.3,10,-0.039761,-0.054971,-0.049524,-0.046218,5.704996,0.289237667,4.927522,10.92175567
D08A130017,8A,0.3,10,-0.046981,-0.062709,-0.056618,-0.051607,5.870283333,0.438645667,6.655456,12.964385
D55B125017,55B,0.25,10,0.012098,-0.058323,-0.031957,-0.035267,31.6816292,4.4304796,9.893938,46.0060468
D55B225017,55B,0.25,10,0.046514,-0.031562,-0.0020003,-0.0088029,35.11419416,5.4876266,8.11989168,48.72171244
D36A120017,36,0.2,10,0.27997,0.019553,0.076964,0.045194,149.7738615,-13.745802,-12.1251335,123.902926
D36A220017,36,0.2,10,0.29819,0.034664,0.090991,0.056558,151.7144,-15.2313705,-16.566637,119.9163925
D32C125017,32C,0.25,10,0.22712,0.008265,0.072995,0.053233,99.6060044,2.1309748,9.8071804,111.5441596
D32C225017,32C,0.25,10,0.20374,-0.0017967,0.058905,0.041968,93.54512404,1.76313472,10.7412494,106.0495082
D48A125017,48A,0.25,10,0.089496,0.0068498,0.031208,0.024528,37.61726344,0.65840272,4.4131196,42.68878576
D48A225017,48A,0.25,10,0.077271,-0.0099421,0.015422,0.011051,39.70940292,0.15992976,7.053511,46.92284368
D08G125017,8G,0.25,10,0.19316,0.035789,0.083583,0.063932,71.559686,3.0289164,2.5608956,77.149498
D08G225017,8G,0.25,10,0.19842,0.037317,0.086969,0.066023,73.2123996,3.7213724,2.2989564,79.2327284
D49A250017,49,0.5,10,0.037856,0.017648,0.025675,0.022284,4.5346468,0.9349322,0.3784432,5.8480222
D49A150017,49,0.5,10,0.060723,0.041613,0.049103,0.042767,4.2965316,1.0135552,-1.2108324,4.0992544
D63A250017,63A,0.5,10,0.060191,0.010319,0.039003,0.022621,10.9165136,5.9939248,0.007208,16.9176464
D63A150017,63A,0.5,10,0.022947,-0.02848,-0.00095367,-0.011516,11.31324564,5.090117398,2.41748164,18.82084467
D63B220017,63B,0.2,10,0.29521,-0.014286,0.10613,0.055194,173.826428,33.34842,13.581484,220.756332
D63B120017,63B,0.2,10,0.3595,0.021961,0.15624,0.096957,189.3523905,39.578062,12.7345695,241.665022
D62B130017,62B,0.3,10,0.067695,-0.036637,-0.0051026,-0.0082245,39.51660747,0.702280733,9.425954,49.6448422
D62B230017,62B,0.3,10,0.11785,0.0079403,0.0448,0.036503,41.44603303,3.4124346,7.8891495,52.74761713
D31A215017,31A,0.15,10,0.1638,0.006104,0.056367,0.03977,119.2399533,7.41267,12.00928,138.6619033
D31A112517,31A,0.125,10,0.10596,-0.016297,0.020683,0.0090852,111.1812539,3.70537904,10.97234832,125.8589813
D62E225017,62E,0.225,10,-0.0071764,-0.023632,-0.016632,-0.015408,8.158264,1.599122311,5.3765168,15.13390311
D62E125017,62E,0.125,10,-0.018028,-0.035035,-0.028266,-0.02762,15.2412392,2.4224128,8.1575768,25.8212288
D51A125017,51,0.125,10,0.067687,-0.0024395,0.019639,0.011465,63.670862,3.7230392,4.4824388,71.87634
D51A225017,51,0.225,10,0.080935,0.0070105,0.031784,0.02299,37.18114556,3.425386667,3.559325556,44.16585778
D48B130017,48B,0.3,10,0.061947,0.012266,0.030095,0.023554,18.67867167,2.504998667,1.943803,23.12747333
D48B225017,48B,0.25,10,0.07874,0.033631,0.053921,0.04513,20.0950052,6.0467796,2.096778,28.2385628
D20A160017,20,0.6,10,0.097946,0.011039,0.039366,0.031621,16.40963017,1.151061333,2.404179167,19.96487067
D20A260017,20,0.6,10,0.10044,0.0024233,0.036193,0.028914,18.45622168,1.791347467,3.82023925,24.0678084
D32A125017,32A,0.125,10,0.12057,-0.038754,0.0071912,0.002326,145.1157914,-0.65396512,31.36216,175.8239862
D32A225017,32A,0.25,10,0.11971,-0.028216,0.013731,0.0053053,67.42572064,-0.41037712,10.24434624,77.25968976
D08B130017,8B,0.3,10,0.18906,-0.0084667,0.049986,0.03635,74.90296337,1.2492626,10.8265125,86.97873847
D08B230017,8B,0.3,10,0.11625,-0.074061,-0.023604,-0.03346,72.47444967,-2.675889333,9.808131667,79.606692
D65A150017,65,0.5,10,-0.0090356,-0.047707,-0.035021,-0.034258,8.7528746,0.42053076,3.37549284,12.5488982
D65A250017,65,0.5,10,-0.028684,-0.063622,-0.054254,-0.050398,7.9706132,-0.5576028,3.8941844,11.3071948
D70B150017,70B,0.5,10,0.015384,0.0065084,0.0086803,0.0056648,2.03797244,-0.0055095,-1.04027528,0.99218766
D70B250017,70B,0.5,10,0.0091181,-0.0041347,0.0027227,0.0010133,2.92146888,1.17109476,1.03961088,5.13217452
D24A130017,24A,0.3,10,0.090009,-0.06065,-0.019956,-0.027439,57.33278367,-1.687493667,8.448626333,64.09391633
D24A230017,24A,0.3,10,0.068151,-0.059438,-0.024686,-0.028046,48.530007,-1.515881,9.751433667,56.76555967
D04C130017,4C,0.3,10,0.087934,0.0023427,0.031077,0.026059,32.27029263,2.547873733,7.340184167,42.15835053
D04C230017,4C,0.3,10,0.024928,-0.057044,-0.03626,-0.034044,31.25069467,-2.306681333,8.970278667,37.914292
D14B140017,14B,0.4,10,-0.014688,-0.024806,-0.019118,-0.018974,2.7668055,1.2291195,2.0718695,6.0677945
D14B240017,14B,0.4,10,-0.03232,-0.043875,-0.039361,-0.039136,3.23990175,0.48950075,1.56492575,5.29432825
D08C207517,8C,0.075,10,0.044528,-0.0384,-0.0082383,-0.019589,124.6323869,17.86190013,12.470272,154.9645591
D08C107517,8C,0.075,10,0.095022,0.019532,0.04913,0.033319,113.0496827,23.44824267,-1.727448,134.7704773
D30A130017,30A,0.3,10,0.0174,-0.049542,-0.030424,-0.032488,25.415222,-0.226905333,5.369138,30.55745467
D30A230017,30A,0.3,10,0.032676,-0.02888,-0.0068798,-0.014126,23.1459324,2.9723162,3.058934667,29.17718327
D26C120017,26C,0.2,10,0.25084,-0.0043426,0.070154,0.044685,145.2633419,2.5304282,10.4913825,158.2851526
D26C220017,26C,0.2,10,0.2163,-0.022313,0.048948,0.026987,135.6939055,3.590612,13.4384345,152.722952
D61B150017,61B,0.5,10,0.0055833,-0.0054235,0.0013103,0.0010042,2.39092624,1.29494416,1.76097936,5.44684976
D61B250017,61B,0.5,10,-0.013932,-0.025049,-0.017275,-0.015886,2.380629,1.5749666,2.9405794,6.896175
D74A225017,74A,0.25,10,0.035092,-0.0032473,0.0089626,0.0074906,17.38633708,0.80115936,4.25885748,22.44635392
D74A125017,74A,0.25,10,0.016261,-0.020795,-0.010577,-0.0096383,16.89941376,-0.64025448,5.36087856,21.62003784
D04A230017,4A,0.3,10,0.12493,-0.012935,0.024703,0.013986,52.45280167,-0.956322333,4.793985667,56.290465
D04A130017,4A,0.3,10,0.1217,0.0060668,0.036723,0.025913,44.04850587,-1.1993094,2.017808667,44.86700513
D52A230017,52,0.3,10,0.098665,0.029388,0.053285,0.04266,26.10231033,3.035876,0.937321667,30.075508
D52A130017,52,0.3,10,0.1134,0.048911,0.069638,0.05675,24.388265,2.16206,-2.433651667,24.11667333
D62C150017,62C,0.5,10,-0.001555,-0.016545,-0.011179,-0.015484,3.3856596,0.5725804,-0.7959836,3.1622564
D62C250017,62C,0.5,10,0.038692,0.022013,0.030907,0.022799,3.6777302,1.8876618,-1.5235122,4.0418798
D14A130017,14A,0.3,10,0.079885,0.042345,0.055077,0.046972,14.16238533,1.720131333,-1.533365333,14.34915133
D14A230017,14A,0.3,10,0.039172,0.0072474,0.016574,0.013229,12.1155006,0.229225467,0.749086333,13.0938124
D54A230017,54A,0.3,10,0.26812,-0.0048842,0.092693,0.055754,102.6659942,13.61126993,9.644831,125.9220951
D54A130017,54A,0.3,10,0.30103,0.036251,0.13058,0.092262,99.59612033,13.23332133,7.143613,119.9730547
D04G120017,4G,0.2,10,0.11998,0.040029,0.069219,0.053641,45.0688895,7.1761925,-1.0797965,51.1652855
D04G220017,4G,0.2,10,0.10503,0.020108,0.050594,0.039046,47.893111,6.480952,4.542321,58.916384
D04B230017,4B,0.3,10,0.30785,0.022722,0.090144,0.06944,109.0399827,-8.487675333,5.231813333,105.7841207
D04B130017,4B,0.3,10,0.30392,0.027233,0.09252,0.07259,105.8190137,-8.335814,5.130171667,102.6133713
D04E240017,4E,0.4,10,-0.0094714,-0.03045,-0.022675,-0.023862,5.90239675,0.8017593,1.68533745,8.3894935
D04E140017,4E,0.4,10,-0.010464,-0.031485,-0.021651,-0.021009,5.82791025,1.61997075,3.67570125,11.12358225
D04D130017,4D,0.3,10,0.08005,0.0052962,0.025692,0.01855,28.44542313,-0.408152267,1.504541667,29.54181253
D04D230017,4D,0.3,10,0.088032,0.018534,0.037629,0.029904,26.44118,-0.201683,0.586958,26.826455
D64C120017,64C,0.2,10,0.015209,-0.045626,-0.028845,-0.031405,34.6957165,-0.762874,5.9784435,39.911286
D64C220017,64C,0.2,10,0.044831,-0.0094509,0.0083485,0.0023112,30.74442355,2.41417395,3.12402395,36.28262145
D71A120017,7I,0.2,10,0.048813,-0.016781,-0.0029531,-0.0063243,37.7578699,-4.65947525,2.0882132,35.18660785
D71A220017,7I,0.2,10,0.0071259,-0.066589,-0.05233,-0.051812,42.51902725,-6.98559785,6.54298785,42.07641725
D30B130017,30B,0.3,10,0.15141,-0.038303,0.00077629,-0.0058837,72.84411331,-9.817981977,6.0365974,69.06272874
D30B230017,30B,0.3,10,0.181,-0.013995,0.029477,0.019342,74.70256367,-7.776103667,5.379813,72.306273
D64B130017,64B,0.3,10,0.042243,-0.020666,-0.0057497,-0.010437,24.05607427,-1.837174033,1.079772333,23.29867257
D64B230017,64B,0.3,10,0.0066381,-0.060885,-0.0462,-0.047265,25.8814745,-3.1351361,3.6530941,26.3994325
D64A120017,64A,0.2,10,0.10746,-0.036355,0.00045872,-0.0087953,82.26549226,-4.00158602,7.7904261,86.05433234
D64A220017,64A,0.2,10,0.11123,-0.052425,-0.011171,-0.023147,93.6719175,-4.9477255,6.5531155,95.2773075
D53A225017,53A,0.25,10,0.17046,-0.064748,0.028594,-0.0097718,105.562801,21.58264512,9.83279456,136.9782406
D53A125017,53A,0.25,10,0.16259,-0.038458,0.041736,0.005888,90.2148944,19.0731528,5.6855744,114.9736216
D54B230017,54B,0.3,10,0.097109,-0.013722,0.026124,0.011302,41.66608633,5.652840333,4.189037,51.50796367
D54B130017,54B,0.3,10,0.0728,-0.031129,0.006218,-0.0057282,39.06707353,5.116893733,5.514299533,49.6982668
