Sample_ID,Site_ID,Date,Sample,Temp_in,Temp_Out,CO2 ppm,CH4 ppm,N2O ppm,recalc CH4 ppm
51-4 ,51,22/Jul/19,2A,23.2,23.7,1531.411826,503.3438025,0.2746208255,503.2458801
51-5 ,51,22/Jul/19,2B,23.2,23.7,1580.404601,535.9643006,0.2750450169,535.8079619
52-1 ,52,23/Jul/19,Atm,,,401.3986868,1.174673032,0.3039381365,1.976027804
52-2 ,52,23/Jul/19,1A,21.2,21.2,189.1282671,245.5182728,0.2148362669,245.8820606
52-3 ,52,23/Jul/19,1B,21.2,21.2,216.7168828,238.0557254,0.2199154008,238.432877
52-4 ,52,23/Jul/19,2A,21.2,21.6,191.5423939,228.7397522,0.227877281,229.1335867
52-5 ,52,23/Jul/19,2B,21.2,21.6,172.1531406,260.7038357,0.2208151421,261.0404294
65-10 ,65,13/Aug/19,Atm,,,487.3591253,405.9329624,0.2583086234,406.0094819
65-6 ,65,13/Aug/19,1A,18.9,18.9,403.3393522,1.62708886,0.3009191092,2.427633453
65-7 ,65,13/Aug/19,1B,18.9,18.9,477.5177627,369.1843463,0.2609838519,369.3266747
65-8 ,65,13/Aug/19,2A,18.9,18.9,475.2966234,388.4393882,0.258719311,388.547235
65-9 ,65,13/Aug/19,2B,18.9,18.9,495.9586131,412.8236398,0.2661056821,412.8878196
75-10 ,75,9/Aug/19,2B,18.8,19.9,5004.682723,801.540679,0.2070329329,800.9087499
75-6 ,75,9/Aug/19,Atm,,,397.7026887,1.225208023,0.309729223,2.026472298
75-7 ,75,9/Aug/19,1A,18.8,19.7,4815.991827,799.7092688,0.2143112692,799.0806194
75-8 ,75,9/Aug/19,1B,18.8,19.7,5210.844475,877.0397674,0.2066088303,876.2726356
75-9 ,75,9/Aug/19,2A,18.8,19.9,4624.884504,727.0117019,0.2157622524,726.5132383
10A-1 ,10A,26/Aug/19,Atm,,,418.7781582,4.720532601,0.3037904535,5.5155375
10A-2 ,10A,26/Aug/19,1A,19.5,18.4,242.0598928,158.7906932,0.2732518919,159.3097915
10A-3 ,10A,26/Aug/19,1B,19.5,18.4,246.0487015,168.3524858,0.2721721218,168.854461
10A-4 ,10A,26/Aug/19,2A,19.5,18.5,196.8213454,142.9473528,0.2824500921,143.4948231
10A-5 ,10A,26/Aug/19,2B,19.5,18.5,189.10928,151.5183875,0.2821595008,152.050509
10B-1 ,10B,26/Aug/19,Atm,,,421.157137,1.158575812,0.303334946,1.959959411
10B-2 ,10B,26/Aug/19,1A,18.9,19.8,158.511402,91.54102537,0.300476924,92.18055339
10B-3 ,10B,26/Aug/19,1B,18.9,19.8,149.7852225,97.85897544,0.3030161084,98.48718936
10B-4 ,10B,26/Aug/19,2A,18.9,19.7,153.7550051,91.10497236,0.2883674177,91.74528126
10B-5 ,10B,26/Aug/19,2B,18.9,19.7,142.2248559,94.70671586,0.2876679857,95.3405748
10C-1 ,10C,26/Aug/19,Atm,,,417.7658926,1.24206703,0.3041402253,2.043301114
10C-2 ,10C,26/Aug/19,1A,18.5,18.5,466.1971976,89.68298849,0.3187702033,90.32584385
10C-3 ,10C,26/Aug/19,1B,18.5,18.5,464.8479537,94.5445324,0.3237886447,95.17868178
10C-4 ,10C,26/Aug/19,2A,18.5,19,446.050393,82.00389249,0.3165962608,82.66049947
10C-5 ,10C,26/Aug/19,2B,18.5,19,458.6757508,87.51288784,0.3208908853,88.15962939
10D-1 ,10D,26/Aug/19,Atm,,,442.8731314,48.02843036,0.3055691405,48.74588011
10D-2 ,10D,26/Aug/19,1A,18.2,18.7,2328.901796,74.39922401,0.2597741286,75.06944932
10D-3 ,10D,26/Aug/19,1B,18.2,18.7,2450.269137,78.92031772,0.2582245598,79.58244673
10D-4 ,10D,26/Aug/19,2A,18.2,18.3,2320.307448,82.90327514,0.2604597635,83.55827152
10D-5 ,10D,26/Aug/19,2B,18.2,18.3,2447.712422,88.03772555,0.2558148775,88.68352723
10E-10 ,10E,26/Aug/19,2B,18.8,19.1,454.6369361,26.72871332,0.3014747425,27.48430629
10E-6 ,10E,26/Aug/19,Atm,,,431.2426868,20.27651621,0.302067416,21.04366368
10E-7 ,10E,26/Aug/19,1A,18.8,19.1,459.1206459,25.52289761,0.3032458443,26.28064994
10E-8 ,10E,26/Aug/19,1B,18.8,19.1,456.7524904,27.26437361,0.3080264209,28.01900733
10E-9 ,10E,26/Aug/19,2A,18.8,19.1,440.2723123,24.10597986,0.2990582614,24.86626958
14A-11 ,14A,29/Jul/19,2A,18.8,19.7,544.44812,130.2408268,0.5206550216,130.8110518
14A-12 ,14A,29/Jul/19,2B,18.8,19.7,511.7183994,140.497077,0.5565845927,141.0489352
14A-6 ,14A,29/Jul/19,Atm,,,447.2992119,156.7784607,0.2793909662,157.3011624
14A-7,14A,29/Jul/19,1A,18.8,19.7,594.6760943,249.4624886,0.541024142,249.8192132
14A-8 ,14A,29/Jul/19,1B,18.8,19.7,634.5674472,294.8266267,0.5946525851,295.1021138
14B-1 ,14B,29/Jul/19,Atm,,,453.8647963,32.65372954,0.2960850765,33.39871208
14B-2 ,14B,29/Jul/19,1A,21.2,19.2,147.2171516,268.5732498,0.2415900186,268.8957511
14B-3 ,14B,29/Jul/19,1B,21.2,19.2,120.7224277,261.1276612,0.2379359126,261.463496
14B-4 ,14B,29/Jul/19,2A,21.2,19.1,107.2722168,182.2052856,0.2468289999,182.6824533
14B-5 ,14B,29/Jul/19,2B,21.2,19.1,80.33268426,191.7126811,0.2441693284,192.1728232
15A-1 ,15A,6/Aug/19,Atm,,,439.4419206,4.414320171,0.3001804121,5.209873431
15A-2 ,15A,6/Aug/19,1A,24,24.3,634.8593473,66.19022516,0.2749764453,66.87515103
15A-3 ,15A,6/Aug/19,1B,24,24.3,660.0943504,71.68722208,0.2778828963,72.362304
15A-4 ,15A,6/Aug/19,2A,24,24.5,607.1473335,69.51991373,0.2846549354,70.19887684
15A-5 ,15A,6/Aug/19,2B,24,24.5,599.2073976,74.25014616,0.2801678578,74.92063843
15B-1 ,15B,6/Aug/19,Atm,,,398.9042354,1.495371325,0.2982121954,2.296151796
15B-2 ,15B,6/Aug/19,1A,24.3,24.6,2228.958179,205.0712958,1.052496497,205.5075154
15B-3 ,15B,6/Aug/19,1B,24.3,24.6,2355.684991,220.1997169,1.097845747,220.6088448
15B-4 ,15B,6/Aug/19,2A,24.3,24.6,2297.076939,205.4659436,1.070322149,205.9014565
15B-5 ,15B,6/Aug/19,2B,24.3,24.6,2424.03662,220.1615375,1.138683827,220.5707338
22C-1 ,22C,9/Aug/19,Atm,,,434.7312316,1.2643154,0.3004354597,2.065509643
22C-2 ,22C,9/Aug/19,1A,15.7,17.1,7000.315322,9808.287921,0.1135988958,9791.52684
22C-3 ,22C,9/Aug/19,1B,15.7,17.1,7504.082584,10643.76622,0.08736846296,10625.50898
22C-4 ,22C,9/Aug/19,2A,15.7,17,7669.259684,11059.46901,0.09525693984,11040.46733
22C-5 ,22C,9/Aug/19,2B,15.7,17,7960.488767,11743.06696,0.08196218682,11722.8411
24B-1 ,24B,16/Aug/19,Atm,,,442.5524391,1.13319106,0.3024431192,1.934620118
24B-2 ,24B,16/Aug/19,1A,20.3,20.6,145.970161,13486.00617,0.2975216947,13462.65909
24B-3 ,24B,16/Aug/19,1B,20.3,20.6,131.5991634,14430.12912,0.296033857,14405.09132
24B-4 ,24B,16/Aug/19,2A,20.3,21.3,126.6699359,12571.19538,0.3015199918,12549.48653
24B-5 ,24B,16/Aug/19,2B,20.3,21.3,124.2950811,13040.26857,0.3026725822,13017.7197
26A-1 ,26A,15/Aug/19,Atm,,,434.0964896,1.198730446,0.3006332434,2.000042137
26A-2 ,26A,15/Aug/19,1A,19.7,20.2,3287.421622,2672.8251,0.3212639219,2668.842102
26A-3 ,26A,15/Aug/19,1B,19.7,20.2,3456.192152,2849.007624,0.3220823439,2844.70912
26A-4 ,26A,15/Aug/19,2A,19.7,20.8,3531.096448,2044.841506,0.3359151494,2041.983092
26A-5 ,26A,15/Aug/19,2B,19.7,20.8,3574.892308,2049.151446,0.3361767325,2046.285313
26B-1 ,26B,15/Aug/19,Atm,,,413.8941485,1.177811576,0.3011098353,1.979160728
26B-2 ,26B,15/Aug/19,1A,20,19.5,159.2615428,271.603701,0.289659101,271.9207754
26B-3 ,26B,15/Aug/19,1B,20,19.5,156.1170254,290.9637502,0.2899451536,291.2461549
26B-4 ,26B,15/Aug/19,2A,20,20.1,424.7239549,1.365726674,0.3081166606,2.166739311
26B-5 ,26B,15/Aug/19,2B,20,20.1,135.8849391,338.8516969,0.2867109385,339.0483446
26C-1 ,26C,15/Aug/19,Atm,,,422.8572576,1.22602731,0.3035593122,2.027290118
26C-2 ,26C,15/Aug/19,1A,19.3,18.4,138.1360372,182.818582,0.2733798593,183.2946515
26C-3 ,26C,15/Aug/19,1B,19.3,18.4,111.0080571,195.9399225,0.2662500642,196.3924945
26C-4 ,26C,15/Aug/19,2A,19.3,17.6,128.7780021,122.3622652,0.2612816489,122.946599
26C-5 ,26C,15/Aug/19,2B,19.3,17.6,115.7895844,127.6036468,0.2575892477,128.1785944
27A-1 ,27A,7/Aug/19,Atm,,,420.3067567,1.220276016,0.2997515299,2.021549124
27A-2 ,27A,7/Aug/19,1A,19.3,20,7057.831749,431.8440208,0.142718218,431.8741391
27A-3 ,27A,7/Aug/19,1B,19.3,20,7001.717445,431.1171964,0.1450529109,431.1486164
27A-4 ,27A,7/Aug/19,2A,19.3,20,7266.41359,637.5163899,0.1428128411,637.1781932
27A-5 ,27A,7/Aug/19,2B,19.3,20,7309.020782,633.9760268,0.1451743717,633.6441701
27B-1 ,27B,7/Aug/19,Atm,,,413.458977,1.201800146,0.3034540687,2.00310634
27B-2 ,27B,7/Aug/19,1A,22.7,22.4,92.92644666,322.7902123,0.287093592,323.0156227
27B-3 ,27B,7/Aug/19,1B,22.7,22.4,110.1268742,324.7146437,0.2855530533,324.9366078
27B-4 ,27B,7/Aug/19,2A,22.7,22.4,98.73005911,302.6610215,0.2641517684,302.9224789
27B-5 ,27B,7/Aug/19,2B,22.7,22.4,82.41182098,301.6503683,0.2647572356,301.9136355
27C-1 ,27C,7/Aug/19,Atm,,,420.1675061,1.234365065,0.3063623444,2.035612941
27C-2 ,27C,7/Aug/19,1A,22.2,22.1,146.0911915,123.0640749,0.2698967997,123.6471519
27C-3 ,27C,7/Aug/19,1B,22.2,22.1,159.0912982,123.0859306,0.26906613,123.6689684
27C-4 ,27C,7/Aug/19,2A,22.2,22.1,155.4205049,121.2653517,0.2630916175,121.8516498
27C-5 ,27C,7/Aug/19,2B,22.2,22.1,163.4301472,118.9074203,0.2570732863,119.497941
30A-1 ,30A,19/Aug/19,Atm,,,407.1400516,1.263469159,0.3030287211,2.064664917
30A-2 ,30A,19/Aug/19,1A,18.8,18.3,487.0256509,476.1771663,0.4027579989,476.1278935
30A-3 ,30A,19/Aug/19,1B,18.8,18.3,500.5547033,521.1682705,0.4146139195,521.0384282
30A-4 ,30A,19/Aug/19,2A,18.8,18,527.5743958,512.4635186,0.4058700606,512.3492648
30A-5 ,30A,19/Aug/19,2B,18.8,18,542.5608465,538.398371,0.416048531,538.2376734
30B-1 ,30B,19/Aug/19,Atm,,,401.0583909,1.202734504,0.2958258248,2.004039025
30B-2 ,30B,19/Aug/19,1A,20.2,19.2,94.03642444,48.85538428,0.2519651691,49.57135313
30B-3 ,30B,19/Aug/19,1B,20.2,19.2,65.07576175,52.18552307,0.2476409047,52.89552835
30B-4 ,30B,19/Aug/19,2A,20.2,19.1,82.03810656,44.92060354,0.2474918103,45.64361873
30B-5 ,30B,19/Aug/19,2B,20.2,19.1,59.67151693,48.40948787,0.2393319936,49.12625523
31A-10 ,31A,19/Aug/19,2B,19.2,19.3,819.4633668,305.7108884,0.2628631504,305.9668841
31A-6 ,31A,19/Aug/19,Atm,,,406.0715152,1.181533544,0.3015174304,1.982876031
31A-7 ,31A,19/Aug/19,1A,19.2,19.7,818.555804,265.1205697,0.2659362522,265.449254
31A-8 ,31A,19/Aug/19,1B,19.2,19.7,845.4239358,268.4911171,0.265328933,268.8137655
31A-9 ,31A,19/Aug/19,2A,19.2,19.3,815.8423116,305.3520881,0.2644822782,305.6087263
31B-10 ,31B,19/Aug/19,2B,16.8,18,309.0174289,598.7118346,0.2617820871,598.4431285
31B-6 ,31B,19/Aug/19,Atm,,,398.5032544,1.180109729,0.2996794303,1.981454766
31B-7 ,31B,19/Aug/19,1A,16.8,18.3,306.5708049,506.4770597,0.2572609013,506.3735263
31B-8 ,31B,19/Aug/19,1B,16.8,18.3,299.8160977,558.0063523,0.2526688376,557.8105409
31B-9,31B,19/Aug/19,2A,,,,,,
44A-1 ,44A,22/Aug/19,Atm,,,446.2220378,1.468549734,0.3019975886,2.269378237
44A-2 ,44A,22/Aug/19,1A,17.9,17.1,241.800682,258.3759047,0.2812487586,258.7166673
44A-3 ,44A,22/Aug/19,1B,17.9,17.1,232.7231328,259.472753,0.2795372824,259.8115513
44A-4 ,44A,22/Aug/19,2A,17.9,16.9,245.7567375,305.1152618,0.2901168506,305.3723242
44A-5 ,44A,22/Aug/19,2B,17.9,16.9,257.3971302,305.79444,0.2943794644,306.0502861
44B-10 ,44B,22/Aug/19,2B,18.8,16.2,272.7814654,161.7301173,0.2471395051,162.2439517
44B-6 ,44B,22/Aug/19,Atm,,,454.279654,1.381761834,0.2959020071,2.182745755
44B-7 ,44B,22/Aug/19,1A,18.8,16.5,281.0638215,205.6543283,0.2545878203,206.0895039
44B-8 ,44B,22/Aug/19,1B,18.8,16.5,306.4405551,196.9910789,0.2600393498,197.4417685
44B-9 ,44B,22/Aug/19,2A,18.8,16.2,269.3592939,162.8416944,0.2442247976,163.3535382
45A-1 ,45A,6/Aug/19,Atm,,,414.1155154,1.215582086,0.3045365082,2.016863599
45A-2 ,45A,6/Aug/19,1A,24.2,25.3,4436.379965,607.1549353,1.263757935,606.8711094
45A-3 ,45A,6/Aug/19,1B,24.2,25.3,4393.034598,599.9129633,1.254121909,599.6421062
45A-4 ,45A,6/Aug/19,2A,24.2,24.7,4472.084078,633.3879326,1.254686071,633.0571291
45A-5 ,45A,6/Aug/19,2B,24.2,24.7,4401.881356,627.8591049,1.230546237,627.5382022
45B-1 ,45B,6/Aug/19,Atm,,,428.7002098,10.77110958,0.2943328615,11.55527919
45B-2 ,45B,6/Aug/19,1A,22.6,22.2,152.7834129,1487.951353,0.2411691903,1486.09021
45B-3 ,45B,6/Aug/19,1B,22.6,22.2,130.1708548,1598.225926,0.235860366,1596.167304
45B-4 ,45B,6/Aug/19,2A,22.6,22.4,146.1608165,1490.955703,0.2441784334,1489.08918
45B-5 ,45B,6/Aug/19,2B,22.6,22.4,141.698257,1691.287155,0.2419029749,1689.061881
45C-1 ,45C,,,,,504.5576873,107.6940431,0.2972735455,108.3046445
45C-2 ,45C,,,,,530.9300831,112.6691212,0.3016735745,113.2708133
45C-3 ,45C,,,,,551.0410697,113.9971766,0.295443904,114.5964905
45C-4 ,45C,,,,,564.7379395,115.2851535,0.2990864346,115.8821608
45C-5 ,45C,,,,,601.6087689,117.271805,0.3022958398,117.8652547
45D-1 ,45D,6/Aug/19,Atm,,,506.4419487,94.90735181,0.3028419563,95.54085147
45D-2 ,45D,6/Aug/19,1A,21.4,21.3,468.0129616,272.0963822,0.2057246189,272.4125743
45D-3 ,45D,6/Aug/19,1B,21.4,21.3,488.797178,369.1162713,0.1753834383,369.2587216
45D-4 ,45D,6/Aug/19,2A,21.4,21.5,464.6886811,656.4366144,0.1646976041,656.0645356
45D-5 ,45D,6/Aug/19,2B,21.4,21.5,470.7153879,652.9659957,0.1700460848,652.6001321
48A-1 ,48A,22/Jul/19,Atm,,,429.3103713,1.230225714,0.3057516299,2.031481004
48A-2 ,48A,22/Jul/19,1A,20.9,21.4,1405.755554,655.3346098,0.2096905052,654.9645045
48A-3 ,48A,22/Jul/19,1B,20.9,21.4,1386.819889,647.4808858,0.2138816261,647.1248448
48A-4 ,48A,22/Jul/19,2A,20.9,21.2,1554.766949,945.8018492,0.2062390168,944.9115793
48A-5 ,48A,22/Jul/19,2B,20.9,21.2,1550.011322,940.8361016,0.2030777774,939.9547244
48B-1 ,48B,22/Jul/19,Atm,,,410.4830665,1.765749653,0.3091979878,2.566045934
48B-2 ,48B,22/Jul/19,1A,24.5,23.1,176.8068385,187.2032947,0.2379736839,187.6715121
48B-3 ,48B,22/Jul/19,1B,24.5,23.1,169.8674156,184.8241891,0.2418438176,185.296667
48B-4 ,48B,22/Jul/19,2A,24.5,22.7,115.867964,176.0175245,0.2314074574,176.5057732
48B-5 ,48B,22/Jul/19,2B,24.5,22.7,129.0560846,173.7144157,0.2309497267,174.2067888
4A-1 ,4A,26/Jul/19,Atm,,,420.6192485,1.777817096,0.3080130501,2.578091767
4A-2 ,4A,26/Jul/19,1A,19.6,18.7,3491.147805,1885.204505,0.2630615776,1882.631966
4A-3 ,4A,26/Jul/19,1B,19.6,18.7,3560.319151,1934.384834,0.2622848181,1931.724224
4A-4 ,4A,26/Jul/19,2A,19.6,19,3795.081916,2358.305739,0.2718695965,2354.885978
4A-5 ,4A,26/Jul/19,2B,19.6,19,4021.740207,2511.161106,0.2724183921,2507.467613
4C-1 ,4C,26/Jul/19,Atm,,,444.6196026,1.52171331,0.3155566191,2.322446608
4C-2 ,4C,26/Jul/19,1A,20.4,20.5,112.4215701,1890.040589,0.2599989857,1887.45939
4C-3 ,4C,26/Jul/19,1B,20.4,20.5,86.04823727,1996.626393,0.2579771293,1993.854322
4C-4 ,4C,26/Jul/19,2A,20.4,20.3,111.5922894,1950.445255,0.2520275614,1947.755884
4C-5 ,4C,26/Jul/19,2B,20.4,20.3,83.64414469,2100.048413,0.2590082496,2097.091135
4D-1 ,4D,25/Jul/19,Atm,,,429.1637534,1.200706038,0.3055321472,2.002014191
4D-2 ,4D,25/Jul/19,1A,19,19.1,121.1947326,2463.571288,0.2096439192,2459.963019
4D-3 ,4D,25/Jul/19,1B,19,19.1,112.8289794,2597.67156,0.2024542144,2593.823145
4D-4 ,4D,25/Jul/19,2A,19,18.6,142.2285293,2207.517855,0.2087635049,2204.368122
4D-5 ,4D,25/Jul/19,2B,19,18.6,112.2238443,2362.649188,0.2053306744,2359.221649
4E-1 ,4E,25/Jul/19,Atm,,,448.8856175,1.658191327,0.3113837575,2.458680223
4E-2 ,4E,25/Jul/19,1A,18.3,21.1,221.451187,876.8049168,0.2557363046,876.0382056
4E-3 ,4E,25/Jul/19,1B,18.3,21.1,281.4204804,672.0514061,0.2716745321,671.6513646
4E-4 ,4E,25/Jul/19,2A,18.3,20.4,142.68357,716.77482,0.2487493785,716.2946884
4E-5 ,4E,25/Jul/19,2B,18.3,20.4,137.882315,709.6637521,0.2527366806,709.1963549
4G-1 ,4G,25/Jul/19,Atm,,,415.7274144,1.369608229,0.2970669273,2.170613915
4G-2 ,4G,25/Jul/19,1A,21.3,20.9,2242.145353,778.9404802,0.2277100951,778.3490233
4G-3 ,4G,25/Jul/19,1B,21.3,20.9,2362.490561,828.2996117,0.2272674877,827.6197631
4G-4 ,4G,25/Jul/19,2A,21.3,20.9,2544.593867,849.1236359,0.2224203445,848.406496
4G-5 ,4G,25/Jul/19,2B,21.3,20.9,2355.470489,767.9631635,0.2281576084,767.3913646
4H-1 ,4H,9/Aug/19,Atm,,,429.4666118,1.736687344,0.3046726797,2.537035669
4H-2 ,4H,9/Aug/19,1A,18,19.3,915.7284332,9742.273556,0.1263183708,9725.630692
4H-3 ,4H,9/Aug/19,1B,18,19.3,930.8086709,10226.36561,0.1187340695,10208.85584
4H-4 ,4H,9/Aug/19,2A,18,18.3,1246.048038,5992.749149,0.118529334,5982.82088
4H-5 ,4H,9/Aug/19,2B,18,18.3,1162.107058,5357.437406,0.139484907,5348.646843
53A-1 ,53A,23/Jul/19,Atm,,,434.2841883,1.422636933,0.3244047288,2.223547655
53A-2 ,53A,23/Jul/19,1A,22.2,22.7,246.5970936,531.6436793,0.2743937722,531.4950779
53A-3 ,53A,23/Jul/19,1B,22.2,22.7,261.9597741,532.7038067,0.2755004282,532.5533068
53A-4 ,53A,23/Jul/19,2A,22.2,23,220.5238306,494.7145725,0.2736071483,494.6321032
53A-5 ,53A,23/Jul/19,2B,22.2,23,247.2247438,488.7008789,0.2744208635,488.6291788
54A-1 ,54A,23/Jul/19,Atm,,,406.1888115,1.483782028,0.3033804643,2.284583253
54A-2 ,54A,23/Jul/19,1A,20.2,21.6,4840.41655,460.0738855,0.2127156119,460.0534503
54A-3 ,54A,23/Jul/19,1B,20.2,21.6,4871.99282,461.2677646,0.214277807,461.2451914
54A-4 ,54A,23/Jul/19,2A,20.2,21.3,4942.915942,497.482377,0.2118591304,497.3949511
54A-5 ,54A,23/Jul/19,2B,20.2,21.3,4948.664139,496.7263122,0.2171209218,496.6402402
54B-1 ,54B,22/Jul/19,Atm,,,410.6773036,1.259968602,0.3033296676,2.061170629
54B-2 ,54B,22/Jul/19,1A,27.8,22.7,184.503534,1196.728868,0.219148085,1195.389242
54B-3 ,54B,22/Jul/19,1B,27.8,22.7,256.0397831,1151.966004,0.2345680133,1150.706538
54B-4 ,54B,22/Jul/19,2A,27.8,22.7,147.7146072,1006.997306,0.2157763059,1005.997448
54B-5 ,54B,22/Jul/19,2B,27.8,22.7,293.3244412,432.2596838,0.2613474498,432.2890578
55B-1 ,55B,23/Jul/19,Atm,,,431.5465609,1.218863036,0.3051741281,2.020138673
55B-2 ,55B,23/Jul/19,1A,21.8,22,121.7599723,48.80553725,0.2761025949,49.52159536
55B-3 ,55B,23/Jul/19,1B,21.8,22,140.878301,45.73099717,0.2796277515,46.45256113
55B-4 ,55B,23/Jul/19,2A,21.8,21.9,106.9998523,53.73934393,0.2754453277,54.44656665
55B-5 ,55B,23/Jul/19,2B,21.8,21.9,172.7942413,46.67047028,0.2778929059,47.39035183
56A-10 ,56A,1/Aug/19,2B,21.4,21.9,155.0640347,27.09888113,0.29107884,27.85381121
56A-6 ,56A,1/Aug/19,Atm,,,439.4089949,36.97237653,0.2981480562,37.70962529
56A-7 ,56A,1/Aug/19,1A,21.4,22.6,199.3826741,24.70297156,0.2938729266,25.46219219
56A-8 ,56A,1/Aug/19,1B,21.4,22.6,142.6573085,25.72969252,0.2940087564,26.48707452
56A-9 ,56A,1/Aug/19,2A,21.4,21.9,221.4455711,132.5440855,0.2862628414,133.1101858
56B-1 ,56B,1/Aug/19,Atm,,,433.1424773,86.52711204,0.3029366837,87.1756189
56B-2 ,56B,1/Aug/19,1A,21.4,23.2,135.1769779,59.93831254,0.3070554558,60.63443424
56B-3 ,56B,1/Aug/19,1B,21.4,23.2,137.8939065,62.13014165,0.3290677338,62.82233825
56B-4 ,56B,1/Aug/19,2A,21.4,22.1,92.68216116,64.38874316,0.308733368,65.0768951
56B-5 ,56B,1/Aug/19,2B,21.4,22.1,66.27701209,70.17078635,0.3071053393,70.84858388
56C-10 ,56C,1/Aug/19,2B,20.6,21.1,126.3626354,72.15060798,0.280618347,72.82486008
56C-6 ,56C,1/Aug/19,Atm,,,437.8958555,51.63675641,0.2932165647,52.34774442
56C-7 ,56C,1/Aug/19,1A,20.6,19.9,212.8284356,65.09368879,0.2784640988,65.78057832
56C-8 ,56C,1/Aug/19,1B,20.6,19.9,139.9130814,62.2146117,0.2777183876,62.90665704
56C-9 ,56C,1/Aug/19,2A,20.6,21.1,133.8622185,65.37045566,0.2840616565,66.05684956
57A-10 ,57A,23/Aug/19,2B,15.5,15.5,1146.621686,6932.566556,0.2375775635,6920.955275
57A-6 ,57A,23/Aug/19,Atm,,,415.2748088,1.198272081,0.3003946146,1.999584593
57A-7 ,57A,23/Aug/19,1A,15.5,15.8,1291.928543,6734.296821,0.2353015013,6723.040598
57A-8 ,57A,23/Aug/19,1B,15.5,15.8,1384.030273,7371.757164,0.2346162622,7359.359387
57A-9 ,57A,23/Aug/19,2A,15.5,15.5,1124.341454,6651.464982,0.234857673,6640.357094
57B-10 ,57B,23/Aug/19,2B,16.3,16.8,768.9679049,1498.520068,0.2682629521,1496.639998
57B-6 ,57B,23/Aug/19,Atm,,,452.6552385,1.219211622,0.3015815559,2.020486635
57B-7 ,57B,23/Aug/19,1A,16.3,16.5,684.5119957,1398.64113,0.250496967,1396.939922
57B-8 ,57B,23/Aug/19,1B,16.3,16.5,701.9330615,1452.195795,0.2516254931,1450.398682
57B-9 ,57B,23/Aug/19,2A,16.3,16.8,696.0661661,1440.947033,0.2861464396,1439.170064
57C-1 ,57C,23/Aug/19,Atm,,,460.6199499,3.275220498,0.3026402138,4.072813641
57C-2 ,57C,23/Aug/19,1A,16.9,17.6,422.6889915,426.1389588,0.2699449457,426.1792937
57C-3 ,57C,23/Aug/19,1B,16.9,17.6,414.9378201,444.3216908,0.2699011073,444.3294643
57C-4 ,57C,23/Aug/19,2A,16.9,17.6,439.0616779,414.3688174,0.2746437125,414.4302301
57C-5 ,57C,23/Aug/19,2B,16.9,17.6,425.741352,428.3469117,0.2719030144,428.3832926
57D-1 ,57D,23/Aug/19,Atm,,,462.2027343,1.219263598,0.3044720249,2.020538519
57D-2 ,57D,23/Aug/19,1A,16.9,17.9,95.21796029,594.8532763,0.2823094037,594.59148
